ground
5,-4,3
6,-4,3
7,-4,3
-6,-4,3
-5,-4,3
-4,-4,3
8,-4,3
9,-4,3
10,-4,3
4,-4,3
3,-4,3
2,-4,3
1,-4,3
0,-4,3
-1,-4,3
-2,-4,3
0,-27,26
1,-27,26
2,-27,26
3,-27,26
4,-27,26
10,-4,-5
9,-4,-5
8,-4,-5
-5,-4,-5
-6,-4,-5
7,-4,-5
6,-4,-5
5,-4,-5
4,-4,-5
0,-4,-5
0,-35,26
1,-35,26
2,-35,26
3,-35,26
4,-35,26
5,-3,-6
-1,-3,-6
2,-4,-5
-2,-5,-4
-3,-5,-4
-4,-5,-4
6,-3,-6
7,-3,-6
8,-3,-6
0,-5,-4
2,-5,-4
1,-5,-4
3,-5,-4
4,-5,-4
1,-6,-3
2,-6,-3
3,-6,-3
-3,-5,-3
3,-34,26
4,-34,26
-5,-4,-4
-6,-4,-4
6,-3,-5
7,-3,-5
8,-3,-5
0,-5,-3
4,-5,-3
1,-6,-2
3,-6,-2
2,-34,26
1,-34,26
0,-34,26
-1,-4,-4
5,-4,-4
6,-4,-4
7,-4,-4
8,-4,-4
9,-4,-4
10,-4,-4
2,-6,-2
-3,-5,-2
1,-6,-1
2,-6,-1
3,-6,-1
4,-5,-2
0,-5,-2
8,-3,-4
7,-3,-4
6,-3,-4
-2,-4,-3
2,-5,-2
-1,-3,-4
5,-3,-4
-1,-4,-3
4,-33,26
0,-33,26
1,-33,26
2,-33,26
3,-33,26
5,-4,-3
6,-4,-3
7,-4,-3
-6,-4,-3
-5,-4,-3
-4,-4,-3
8,-4,-3
9,-4,-3
10,-4,-3
-3,-5,-1
2,-6,0
4,-5,-1
0,-5,-1
5,-3,-3
-1,-3,-3
9,-4,-2
10,-4,-2
8,-4,-2
7,-4,-2
6,-4,-2
0,-32,26
1,-32,26
2,-32,26
3,-32,26
4,-32,26
-2,-4,-2
-1,-4,-2
2,-4,-2
5,-4,-2
-6,-4,-2
-5,-4,-2
-4,-4,-2
-4,-5,0
-3,-5,0
-2,-5,0
1,-5,0
3,-5,0
-1,-3,-2
5,-3,-2
0,-31,26
1,-31,26
2,-31,26
3,-31,26
4,-31,26
-2,-4,-1
-1,-4,-1
5,-4,-1
6,-4,-1
7,-4,-1
-6,-4,-1
-5,-4,-1
-4,-4,-1
8,-4,-1
9,-4,-1
10,-4,-1
-2,-5,1
-3,-5,1
-4,-5,1
2,-5,1
5,-3,-1
0,-30,26
1,-30,26
2,-30,26
3,-30,26
4,-30,26
-1,-4,0
0,-4,0
4,-4,0
5,-4,0
6,-4,0
7,-4,0
-6,-4,0
-5,-4,0
8,-4,0
9,-4,0
10,-4,0
-4,-5,2
-3,-5,2
-2,-5,2
0,-29,26
1,-29,26
2,-29,26
3,-29,26
4,-29,26
-1,-4,1
0,-4,1
1,-4,1
3,-4,1
4,-4,1
5,-4,1
6,-4,1
7,-4,1
-6,-4,1
-5,-4,1
8,-4,1
9,-4,1
10,-4,1
-3,-5,3
0,-28,26
1,-28,26
2,-28,26
3,-28,26
4,-28,26
-1,-4,2
0,-4,2
1,-4,2
2,-4,2
3,-4,2
4,-4,2
5,-4,2
6,-4,2
7,-4,2
-6,-4,2
-5,-4,2
8,-4,2
9,-4,2
10,-4,2
0,-26,26
1,-26,26
2,-26,26
3,-26,26
4,-26,26
-3,-4,4
-2,-4,4
-1,-4,4
0,-4,4
1,-4,4
2,-4,4
3,-4,4
4,-4,4
5,-4,4
6,-4,4
7,-4,4
-6,-4,4
-5,-4,4
-4,-4,4
8,-4,4
9,-4,4
10,-4,4
0,-25,26
1,-25,26
2,-25,26
3,-25,26
