point
26.1175,-40.4169,-145.257,1,0.4,0.2,10
37.4092,1.03525,-127.113,1,0.6,0.3,50
-37.2788,-15.5846,-22.3877,1,0.6,0.2,25
-21.3654,-55.66,22.2711,1,0.5,0.2,15
-55.2194,-55.5651,23.0716,1,0.5,0.2,15
-20.155,-54.5769,-50.5595,1,0.5,0.2,15
-56.3892,-54.5259,-50.692,1,0.6,0.2,15
112.722,15.3561,-37.4365,1,0.6,0.2,100
78.938,-27.8841,-77.808,1,0.4,0.1,15
111.233,-34.329,-180.937,1,0.6,0.3,15
112.327,-33.9153,-119.723,1,0.6,0.3,15
-21.9971,-50.4557,-119.727,1,0.3,0.1,15
-22.152,-51.9087,-195.483,1,0.3,0.1,15
-52.6983,-51.4353,-194.766,1,0.3,0.1,15
-53.6998,-50.6326,-119.598,1,0.3,0.1,15
-23.1011,-32.6588,-76.11,1,0.8,0.5,30
-1.75522,-26.5454,-79.2499,1,0.2,0.1,15
